,ID,Gene,BC0,BC0-fun,BC1,BC1-fun,BC2,BC2-fun,BC3,BC3-fun,BC4,BC4-fun,PromIde,PromSeg,GeneIde,GeneSeg
110,BC-3.1.3.6,dsrA,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.3,posttranscriptional,BC-3.1.3.6,antisense RNA,NaN,None,3.18,0.194029851,0.6,0.056818182
111,BC-1.5.1.3,carA,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,4.35,0.217325228,2.18,0.113141862
112,BC-1.5.1.3,artP,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,1.91,0.11933174199999999,1.1,0.08916323699999999
113,BC-1.5.1.3,argR,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,0.75,0.061320755,1.34,0.089171975
114,BC-1.5.1.3,argI,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,1.38,0.107438017,4.61,0.20199005
115,BC-1.5.1.3,argE,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,0.64,0.050704225,2.89,0.1484375
116,BC-1.5.1.3,argD,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,2.73,0.118466899,3.0,0.15970516
117,BC-1.5.1.3,argC,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.3,arginine,NaN,None,0.64,0.050704225,2.31,0.126368159
118,BC-1.5.1.6,aspA,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.6,asparagine,NaN,None,0.84,0.053903346,0.7,0.052192067
119,BC-1.5.1.6,asnC,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.6,asparagine,NaN,None,1.89,0.11048158599999999,2.22,0.122004357
120,BC-1.5.1.6,asnA,BC-1,metabolism,BC-1.5,biosynthesis of building blocks,BC-1.5.1,amino acids,BC-1.5.1.6,asparagine,NaN,None,1.89,0.11048158599999999,2.3,0.118831823
121,BC-1.3.8,zntA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.8,ATP proton motive force interconversion,NaN,None,NaN,None,2.41,0.098181818,4.12,0.183719873
122,BC-1.3.8,atpI,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.8,ATP proton motive force interconversion,NaN,None,NaN,None,1.08,0.063569682,0.31,0.036745407
123,BC-4.1.B,tsx,BC-4,transport,BC-4.1,Channel-type Transporters,BC-4.1.B,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),NaN,None,NaN,None,2.01,0.092,1.88,0.08361581900000001
124,BC-4.1.B,phoE,BC-4,transport,BC-4.1,Channel-type Transporters,BC-4.1.B,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),NaN,None,NaN,None,1.15,0.075510204,3.3,0.14488636400000002
125,BC-4.1.B,ompF,BC-4,transport,BC-4.1,Channel-type Transporters,BC-4.1.B,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),NaN,None,NaN,None,3.4,0.19106699800000002,4.02,0.136073059
126,BC-4.1.B,ompC,BC-4,transport,BC-4.1,Channel-type Transporters,BC-4.1.B,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),NaN,None,NaN,None,1.06,0.080074488,5.73,0.22802653399999998
127,BC-4.1.B,fepA,BC-4,transport,BC-4.1,Channel-type Transporters,BC-4.1.B,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),NaN,None,NaN,None,2.25,0.16367713,2.99,0.139555556
128,BC-1.6.15.3,accB,BC-1,metabolism,BC-1.6,biosynthesis of macromolecules (cellular constituents),BC-1.6.15,large molecule carriers,BC-1.6.15.3,biotin carboxyl carrier protein,NaN,None,1.17,0.083743842,0.81,0.044585987
129,BC-6.7,waaA,BC-6,cell structure,BC-6.7,capsule (M and K antigens),NaN,None,NaN,None,NaN,None,5.36,0.275757576,2.42,0.135367762
130,BC-6.7,manA,BC-6,cell structure,BC-6.7,capsule (M and K antigens),NaN,None,NaN,None,NaN,None,0.59,0.0575,2.47,0.139455782
131,BC-6.7,galE,BC-6,cell structure,BC-6.7,capsule (M and K antigens),NaN,None,NaN,None,NaN,None,3.66,0.17456896600000002,1.58,0.085545723
132,BC-1.1.1,zwf,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.1,carbon compounds,NaN,None,NaN,None,0.82,0.055658627,1.91,0.112466125
133,BC-1.1.1,yiaK,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.1,carbon compounds,NaN,None,NaN,None,2.71,0.155172414,3.33,0.155155155
134,BC-1.1.1,uxuA,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.1,carbon compounds,NaN,None,NaN,None,1.89,0.127306273,1.86,0.09957805900000001
